Comment,Designator,Footprint,MPN,Qty,Mount,Note
100n,"C1,C5,C11,C12,C14,C15,C16,C17,C18",0805,CL21B104KBCNNNC,9,SMD,"U1 decoupling; U5 decoupling; U6 input, high frequency; U6 bootstrap; U7 decoupling; U8 decoupling; U9 decoupling; U10 decoupling; U4 decoupling"
22u,"C13,C19",1206,CL31A226KAHNNNE,2,SMD,U6 output
100n,"C20,C23,C24,C25,C26,C27,C28,C31,C32",0402,CL05B104KO5NNNC,9,SMD,"U3 decoupling; U2 IOVDD (pin 1); U2 IOVDD (pin 10); U2 IOVDD (pin 22); U2 IOVDD (pin 33); U2 IOVDD and ADC_AVDD (pins 42, 43); U2 USB_VDD and IOVDD (pins 48, 49); U2 DVDD (pin 23); U2 DVDD (pin 50)"
15p,"C21,C22",0402,CL05C150JB5NNNC,2,SMD,crystal load
1u,"C29,C30",0402,CL05A105KA5NQNC,2,SMD,U2 VREG_VIN (pin 44); U2 VREG_VOUT (pin 45): the 1.1 V core supply
10u,C34,0805,CL21A106KAYNNNE,1,SMD,"U11 output, the 3.3 V bulk"
1u,"C6,C33",0805,CL21B105KAFNNNE,2,SMD,U5 decoupling; U11 input
100u 35V,C7,CP,EEE-FK1V101P,1,SMD,"12 V bulk: the PWM's current steps, and damping for the feed wire"
10u,"C8,C9,C10",1210,CL32B106KBJNNNE,3,SMD,"12 V bypass, zone side; 12 V bypass, pixel side; U6 input (50 V)"
SMCJ18A,D1,SMC,SMCJ18A,1,SMD,1500 W surge clamp on the 12 V input (18 V stand-off)
SS14,D2,SMA,SS14,1,SMD,reverse polarity protection for the logic supply
BAT54S,"D3,D4,D5,D6",SOT-23,"BAT54S,215",4,SMD,clamps J7's data line between GND and 5 V; clamps J8's data line between GND and 5 V; clamps J9's data line between GND and 5 V; clamps J10's data line between GND and 5 V
green,D7,LED,LTST-C171GKT,1,SMD,lit when the board has 12 V
yellow,D8,LED,LTST-C171YKT,1,SMD,the RP2040's status: blinks while its firmware runs
USB,J11,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,GCT USB4105-GF-A,1,SMD,firmware loading only (VBUS unused: the board must have its 12 V)
6.8u,L1,L,SRN6045TA-6R8M,1,SMD,U6's inductor
BUK9M7R2-40E,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16",LFPAK33,BUK9M7R2-40EX,16,SMD,zone 1 R: PCA9685 output 0; zone 1 G: PCA9685 output 1; zone 1 B: PCA9685 output 2; zone 1 W: PCA9685 output 3; zone 2 R: PCA9685 output 4; zone 2 G: PCA9685 output 5; zone 2 B: PCA9685 output 6; zone 2 W: PCA9685 output 7; zone 3 R: PCA9685 output 8; zone 3 G: PCA9685 output 9; zone 3 B: PCA9685 output 10; zone 3 W: PCA9685 output 11; zone 4 R: PCA9685 output 12; zone 4 G: PCA9685 output 13; zone 4 B: PCA9685 output 14; zone 4 W: PCA9685 output 15
BSS138,"Q17,Q18",SOT-23,BSS138,2,SMD,"SDA level shift, 3.3 V to 5 V; SCL level shift, 3.3 V to 5 V"
100,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16",0805,RC0805FR-07100RL,16,SMD,gate resistor
47k,"R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32",0805,RC0805FR-0747KL,16,SMD,gate pull-down
620,"R33,R35,R36,R38",0805,RC0805FR-07620RL,4,SMD,link SCL pair: bias (pull-up); link SCL pair: bias (pull-down); link SDA pair: bias (pull-up); link SDA pair: bias (pull-down)
120,"R34,R37",0805,RC0805FR-07120RL,2,SMD,link SCL pair: termination; link SDA pair: termination
4.7k,"R39,R40",0805,RC0805FR-074K7L,2,SMD,"I2C pull-up, 5 V side"
10k,"R41,R42,R49",0805,RC0805FR-0710KL,3,SMD,"I2C pull-up, RP2040 side; RUN pull-up"
330,"R43,R44,R45,R46",1206,RC1206FR-07330RL,4,SMD,J7 data series resistor; J8 data series resistor; J9 data series resistor; J10 data series resistor
1m,R47,2512 (4-terminal),WSK25121L000FEA,1,SMD,"1 mOhm, 1 W, four-terminal: 20 A makes 20 mV and 0.4 W"
