Designator,Mid X,Mid Y,Layer,Rotation
C1,24.600mm,60.400mm,Top,90
C5,96.400mm,62.800mm,Top,90
C6,98.600mm,62.800mm,Top,90
C7,82.800mm,42.800mm,Top,0
C8,45.000mm,42.800mm,Top,90
C9,138.400mm,42.800mm,Top,90
C10,158.400mm,21.400mm,Top,90
C11,161.200mm,21.400mm,Top,90
C12,166.200mm,20.200mm,Top,0
C13,164.400mm,9.400mm,Top,0
C14,49.500mm,20.100mm,Top,90
C15,81.000mm,20.100mm,Top,90
C16,112.500mm,20.100mm,Top,90
C17,144.000mm,20.100mm,Top,90
C18,160.400mm,44.600mm,Top,90
C19,169.800mm,9.200mm,Top,0
C20,25.600mm,16.400mm,Top,90
C21,22.600mm,42.200mm,Top,90
C22,15.600mm,41.000mm,Top,90
C23,23.800mm,27.000mm,Top,0
C24,24.000mm,34.000mm,Top,90
C25,13.400mm,38.200mm,Top,0
C26,10.200mm,33.000mm,Top,90
C27,10.200mm,29.400mm,Top,90
C28,15.000mm,23.200mm,Top,0
C29,13.400mm,25.000mm,Top,90
C30,12.200mm,25.000mm,Top,90
C31,13.400mm,39.600mm,Top,0
C32,25.600mm,23.600mm,Top,90
C33,29.800mm,37.400mm,Top,90
C34,26.400mm,41.000mm,Top,0
D1,171.400mm,26.200mm,Top,270
D2,156.200mm,27.600mm,Top,180
D3,45.300mm,16.100mm,Top,0
D4,76.800mm,16.100mm,Top,0
D5,108.300mm,16.100mm,Top,0
D6,139.800mm,16.100mm,Top,0
D7,162.200mm,5.400mm,Top,90
D8,29.800mm,45.000mm,Top,90
J11,4.300mm,22.000mm,Top,270
L1,169.400mm,14.400mm,Top,270
Q1,30.420mm,77.000mm,Top,90
Q2,25.340mm,77.000mm,Top,90
Q3,20.260mm,77.000mm,Top,90
Q4,15.180mm,77.000mm,Top,90
Q5,67.020mm,77.000mm,Top,90
Q6,61.940mm,77.000mm,Top,90
Q7,56.860mm,77.000mm,Top,90
Q8,51.780mm,77.000mm,Top,90
Q9,103.620mm,77.000mm,Top,90
Q10,98.540mm,77.000mm,Top,90
Q11,93.460mm,77.000mm,Top,90
Q12,88.380mm,77.000mm,Top,90
Q13,140.220mm,77.000mm,Top,90
Q14,135.140mm,77.000mm,Top,90
Q15,130.060mm,77.000mm,Top,90
Q16,124.980mm,77.000mm,Top,90
Q17,29.800mm,32.200mm,Top,90
Q18,26.300mm,32.200mm,Top,90
R1,31.395mm,72.600mm,Top,90
R2,26.315mm,72.600mm,Top,90
R3,21.235mm,72.600mm,Top,90
R4,16.155mm,72.600mm,Top,90
R5,67.995mm,72.600mm,Top,90
R6,62.915mm,72.600mm,Top,90
R7,57.835mm,72.600mm,Top,90
R8,52.755mm,72.600mm,Top,90
R9,104.595mm,72.600mm,Top,90
R10,99.515mm,72.600mm,Top,90
R11,94.435mm,72.600mm,Top,90
R12,89.355mm,72.600mm,Top,90
R13,141.195mm,72.600mm,Top,90
R14,136.115mm,72.600mm,Top,90
R15,131.035mm,72.600mm,Top,90
R16,125.955mm,72.600mm,Top,90
R17,29.120mm,72.600mm,Top,270
R18,24.040mm,72.600mm,Top,270
R19,18.960mm,72.600mm,Top,270
R20,13.880mm,72.600mm,Top,270
R21,65.720mm,72.600mm,Top,270
R22,60.640mm,72.600mm,Top,270
R23,55.560mm,72.600mm,Top,270
R24,50.480mm,72.600mm,Top,270
R25,102.320mm,72.600mm,Top,270
R26,97.240mm,72.600mm,Top,270
R27,92.160mm,72.600mm,Top,270
R28,87.080mm,72.600mm,Top,270
R29,138.920mm,72.600mm,Top,270
R30,133.840mm,72.600mm,Top,270
R31,128.760mm,72.600mm,Top,270
R32,123.680mm,72.600mm,Top,270
R33,23.000mm,51.800mm,Top,90
R34,20.800mm,51.800mm,Top,90
R35,25.200mm,51.800mm,Top,90
R36,23.000mm,48.000mm,Top,90
R37,20.800mm,48.000mm,Top,90
R38,25.200mm,48.000mm,Top,90
R39,28.600mm,60.400mm,Top,90
R40,30.800mm,60.400mm,Top,90
R41,29.800mm,28.400mm,Top,90
R42,26.300mm,28.400mm,Top,90
R43,41.780mm,17.100mm,Top,270
R44,73.280mm,17.100mm,Top,270
R45,104.780mm,17.100mm,Top,270
R46,136.280mm,17.100mm,Top,270
R47,156.000mm,38.000mm,Top,180
R48,17.000mm,38.400mm,Top,90
R49,10.800mm,36.600mm,Top,90
R50,21.600mm,13.800mm,Top,0
R51,11.400mm,20.000mm,Top,0
R52,11.400mm,21.200mm,Top,0
R53,11.600mm,17.800mm,Top,0
R54,11.600mm,15.800mm,Top,0
R55,29.800mm,41.600mm,Top,90
R56,160.000mm,5.400mm,Top,90
SW1,5.200mm,11.800mm,Top,0
SW2,11.800mm,11.800mm,Top,0
U1,24.600mm,56.400mm,Top,180
U2,17.000mm,32.000mm,Top,180
U3,21.600mm,20.200mm,Top,270
U4,156.000mm,44.600mm,Top,0
U5,91.000mm,57.800mm,Top,0
U6,163.000mm,17.400mm,Top,0
U7,45.700mm,20.100mm,Top,180
U8,77.200mm,20.100mm,Top,180
U9,108.700mm,20.100mm,Top,180
U10,140.200mm,20.100mm,Top,180
U11,26.400mm,37.400mm,Top,0
Y1,19.400mm,41.200mm,Top,180
