Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,24.600,60.400,T,90
C5,96.400,62.800,T,90
C6,98.600,62.800,T,90
C7,82.800,42.800,T,0
C8,45.000,42.800,T,90
C9,138.400,42.800,T,90
C10,158.400,21.400,T,90
C11,161.200,21.400,T,90
C12,166.200,20.200,T,0
C13,164.400,9.400,T,0
C14,49.500,20.100,T,90
C15,81.000,20.100,T,90
C16,112.500,20.100,T,90
C17,144.000,20.100,T,90
C18,160.400,44.600,T,90
C19,169.800,9.200,T,0
C20,25.600,16.400,T,90
C21,22.600,42.200,T,90
C22,15.600,41.000,T,90
C23,23.800,27.000,T,0
C24,24.000,34.000,T,90
C25,13.400,38.200,T,0
C26,10.200,33.000,T,90
C27,10.200,29.400,T,90
C28,15.000,23.200,T,0
C29,13.400,25.000,T,90
C30,12.200,25.000,T,90
C31,13.400,39.600,T,0
C32,25.600,23.600,T,90
C33,29.800,37.400,T,90
C34,26.400,41.000,T,0
D1,171.400,26.200,T,270
D2,156.200,27.600,T,180
D3,45.300,16.100,T,0
D4,76.800,16.100,T,0
D5,108.300,16.100,T,0
D6,139.800,16.100,T,0
D7,162.200,5.400,T,90
D8,29.800,45.000,T,90
F1,35.000,46.900,T,90
F2,71.600,46.900,T,90
F3,108.200,46.900,T,90
F4,144.800,46.900,T,90
F5,37.200,38.700,T,270
F6,68.700,38.700,T,270
F7,100.200,38.700,T,270
F8,131.700,38.700,T,270
J1,14.600,61.000,T,270
J2,168.670,38.000,T,90
J3,35.500,83.500,T,180
J4,72.100,83.500,T,180
J5,108.700,83.500,T,180
J6,145.300,83.500,T,180
J7,36.700,10.500,T,0
J8,68.200,10.500,T,0
J9,99.700,10.500,T,0
J10,131.200,10.500,T,0
J11,4.300,22.000,T,270
L1,169.400,14.400,T,270
Q1,30.420,77.000,T,90
Q2,25.340,77.000,T,90
Q3,20.260,77.000,T,90
Q4,15.180,77.000,T,90
Q5,67.020,77.000,T,90
Q6,61.940,77.000,T,90
Q7,56.860,77.000,T,90
Q8,51.780,77.000,T,90
Q9,103.620,77.000,T,90
Q10,98.540,77.000,T,90
Q11,93.460,77.000,T,90
Q12,88.380,77.000,T,90
Q13,140.220,77.000,T,90
Q14,135.140,77.000,T,90
Q15,130.060,77.000,T,90
Q16,124.980,77.000,T,90
Q17,29.800,32.200,T,90
Q18,26.300,32.200,T,90
R1,31.395,72.600,T,90
R2,26.315,72.600,T,90
R3,21.235,72.600,T,90
R4,16.155,72.600,T,90
R5,67.995,72.600,T,90
R6,62.915,72.600,T,90
R7,57.835,72.600,T,90
R8,52.755,72.600,T,90
R9,104.595,72.600,T,90
R10,99.515,72.600,T,90
R11,94.435,72.600,T,90
R12,89.355,72.600,T,90
R13,141.195,72.600,T,90
R14,136.115,72.600,T,90
R15,131.035,72.600,T,90
R16,125.955,72.600,T,90
R17,29.120,72.600,T,270
R18,24.040,72.600,T,270
R19,18.960,72.600,T,270
R20,13.880,72.600,T,270
R21,65.720,72.600,T,270
R22,60.640,72.600,T,270
R23,55.560,72.600,T,270
R24,50.480,72.600,T,270
R25,102.320,72.600,T,270
R26,97.240,72.600,T,270
R27,92.160,72.600,T,270
R28,87.080,72.600,T,270
R29,138.920,72.600,T,270
R30,133.840,72.600,T,270
R31,128.760,72.600,T,270
R32,123.680,72.600,T,270
R33,23.000,51.800,T,90
R34,20.800,51.800,T,90
R35,25.200,51.800,T,90
R36,23.000,48.000,T,90
R37,20.800,48.000,T,90
R38,25.200,48.000,T,90
R39,28.600,60.400,T,90
R40,30.800,60.400,T,90
R41,29.800,28.400,T,90
R42,26.300,28.400,T,90
R43,41.780,17.100,T,270
R44,73.280,17.100,T,270
R45,104.780,17.100,T,270
R46,136.280,17.100,T,270
R47,156.000,38.000,T,180
R48,17.000,38.400,T,90
R49,10.800,36.600,T,90
R50,21.600,13.800,T,0
R51,11.400,20.000,T,0
R52,11.400,21.200,T,0
R53,11.600,17.800,T,0
R54,11.600,15.800,T,0
R55,29.800,41.600,T,90
R56,160.000,5.400,T,90
SW1,5.200,11.800,T,0
SW2,11.800,11.800,T,0
U1,24.600,56.400,T,180
U2,17.000,32.000,T,180
U3,21.600,20.200,T,270
U4,156.000,44.600,T,0
U5,91.000,57.800,T,0
U6,163.000,17.400,T,0
U7,45.700,20.100,T,180
U8,77.200,20.100,T,180
U9,108.700,20.100,T,180
U10,140.200,20.100,T,180
U11,26.400,37.400,T,0
Y1,19.400,41.200,T,180
