Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
J4,8.370,71.230,B,270
C1,29.200,62.800,T,270
C2,29.200,57.800,T,270
C3,29.200,52.800,T,270
C4,29.200,47.800,T,270
C5,29.200,42.800,T,270
C6,29.200,37.800,T,270
C7,43.600,58.400,T,270
C8,45.700,58.400,T,270
C9,43.600,47.400,T,270
C10,45.700,47.400,T,270
C11,47.300,15.100,T,270
C12,13.800,33.800,T,90
C13,13.800,30.400,T,90
C14,28.500,34.000,T,0
C15,22.000,26.200,T,0
C16,17.800,17.000,T,90
C17,20.300,17.000,T,90
C18,21.600,20.800,T,0
C19,26.600,84.200,T,0
C20,26.900,80.600,T,90
C21,29.600,78.600,T,90
D1,22.000,65.440,T,270
D2,22.000,60.440,T,270
D3,22.000,55.440,T,270
D4,22.000,50.440,T,270
D5,22.000,45.440,T,270
D6,22.000,40.440,T,270
D7,44.400,15.100,T,270
D9,5.500,17.800,T,0
D10,5.500,14.000,T,0
D11,25.000,14.500,T,0
D12,32.600,82.000,T,90
J1,8.700,61.335,T,270
J2,42.000,8.700,T,0
J5,9.000,8.700,T,0
J6,62.000,53.800,T,90
J7,12.600,79.300,T,180
Q1,22.600,78.200,T,0
R1,14.800,64.500,T,0
R2,14.800,59.500,T,0
R3,14.800,54.500,T,0
R4,14.800,49.500,T,0
R5,14.800,44.500,T,0
R6,14.800,39.500,T,0
R7,18.600,62.800,T,270
R8,18.600,57.800,T,270
R9,18.600,52.800,T,270
R10,18.600,47.800,T,270
R11,18.600,42.800,T,270
R12,18.600,37.800,T,270
R13,25.800,64.500,T,0
R14,25.800,59.500,T,0
R15,25.800,54.500,T,0
R16,25.800,49.500,T,0
R17,25.800,44.500,T,0
R18,25.800,39.500,T,0
R19,36.000,15.100,T,90
R20,38.800,15.100,T,270
R21,41.600,15.100,T,90
R22,63.300,17.400,T,90
R23,63.300,13.400,T,90
R24,50.800,60.400,T,180
R25,50.800,57.200,T,180
R26,28.500,18.000,T,90
R27,32.200,34.000,T,90
R28,32.200,30.000,T,90
U1,38.800,58.000,T,0
U2,38.800,47.000,T,0
U3,55.500,14.500,T,0
U4,20.500,31.700,T,90
U5,16.500,24.000,T,270
U6,13.500,17.000,T,0
U7,22.700,83.200,T,270
Y1,28.500,30.500,T,0
