Designator,Mid X,Mid Y,Layer,Rotation
C1,29.200mm,62.800mm,Top,270
C2,29.200mm,57.800mm,Top,270
C3,29.200mm,52.800mm,Top,270
C4,29.200mm,47.800mm,Top,270
C5,29.200mm,42.800mm,Top,270
C6,29.200mm,37.800mm,Top,270
C7,43.600mm,58.400mm,Top,270
C8,45.700mm,58.400mm,Top,270
C9,43.600mm,47.400mm,Top,270
C10,45.700mm,47.400mm,Top,270
C11,47.300mm,15.100mm,Top,270
C12,13.800mm,33.800mm,Top,90
C13,13.800mm,30.400mm,Top,90
C14,28.500mm,34.000mm,Top,0
C15,22.000mm,26.200mm,Top,0
C16,17.800mm,17.000mm,Top,90
C17,20.300mm,17.000mm,Top,90
C18,21.600mm,20.800mm,Top,0
D1,22.000mm,65.440mm,Top,270
D2,22.000mm,60.440mm,Top,270
D3,22.000mm,55.440mm,Top,270
D4,22.000mm,50.440mm,Top,270
D5,22.000mm,45.440mm,Top,270
D6,22.000mm,40.440mm,Top,270
D7,44.400mm,15.100mm,Top,270
D8,48.300mm,53.800mm,Top,180
D9,5.500mm,17.800mm,Top,0
D10,5.500mm,14.000mm,Top,0
D11,25.000mm,14.500mm,Top,0
J6,62.000mm,34.400mm,Top,90
R1,14.800mm,64.500mm,Top,0
R2,14.800mm,59.500mm,Top,0
R3,14.800mm,54.500mm,Top,0
R4,14.800mm,49.500mm,Top,0
R5,14.800mm,44.500mm,Top,0
R6,14.800mm,39.500mm,Top,0
R7,18.600mm,62.800mm,Top,270
R8,18.600mm,57.800mm,Top,270
R9,18.600mm,52.800mm,Top,270
R10,18.600mm,47.800mm,Top,270
R11,18.600mm,42.800mm,Top,270
R12,18.600mm,37.800mm,Top,270
R13,25.800mm,64.500mm,Top,0
R14,25.800mm,59.500mm,Top,0
R15,25.800mm,54.500mm,Top,0
R16,25.800mm,49.500mm,Top,0
R17,25.800mm,44.500mm,Top,0
R18,25.800mm,39.500mm,Top,0
R19,36.000mm,15.100mm,Top,90
R20,38.800mm,15.100mm,Top,270
R21,41.600mm,15.100mm,Top,90
R22,63.300mm,17.400mm,Top,90
R23,63.300mm,13.400mm,Top,90
R24,50.800mm,60.400mm,Top,180
R25,50.800mm,57.200mm,Top,180
R26,28.500mm,18.000mm,Top,90
R27,32.200mm,34.000mm,Top,90
R28,32.200mm,30.000mm,Top,90
U1,38.800mm,58.000mm,Top,0
U2,38.800mm,47.000mm,Top,0
U3,55.500mm,14.500mm,Top,0
U4,20.500mm,31.700mm,Top,90
U5,16.500mm,24.000mm,Top,270
U6,13.500mm,17.000mm,Top,0
Y1,28.500mm,30.500mm,Top,0
