Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Quantity,Customer Reference,Description,Price From,Unit Price (USD),Extended Price (USD)
1276-1003-1-ND,Samsung Electro-Mechanics,CL21B104KBCNNNC,15,"C1,C2,C3,C4,C5,C6,C7,C9,C12,C14,C15,C18,C19,C20,C24",100n (0805),DigiKey,0.0450,0.67
1276-1015-1-ND,Samsung Electro-Mechanics,CL21B103KBANNNC,1,C11,10n (0805),DigiKey,0.1000,0.10
1276-1068-1-ND,Samsung Electro-Mechanics,CL31B105KBHNNNE,1,C16,1u (1206),DigiKey,0.1700,0.17
1276-1244-1-ND,Samsung Electro-Mechanics,CL21A475KAQNNNE,1,C17,4.7u (0805),DigiKey,0.1400,0.14
1276-3047-1-ND,Samsung Electro-Mechanics,CL31A226KAHNNNE,1,C21,22u (1206),DigiKey,0.4800,0.48
1276-1001-1-ND,Samsung Electro-Mechanics,CL05B104KO5NNNC,2,"C22,C23",100n (0402),DigiKey,0.1000,0.20
1276-1066-1-ND,Samsung Electro-Mechanics,CL21B105KAFNNNE,3,"C8,C10,C13",1u (0805),DigiKey,0.1100,0.33
1727-2904-1-ND,Nexperia,"BAT54S,215",7,"D1,D2,D3,D4,D5,D6,D13",BAT54S (SOT-23),DigiKey,0.1400,0.98
SMAJ18ABCT-ND,Littelfuse,SMAJ18A,1,D10,SMAJ18A (SMA),DigiKey,0.1000,0.10
SZNUP2105LT1GOSCT-ND,onsemi,SZNUP2105LT1G,1,D11,NUP2105L (SOT-23),DigiKey,0.4100,0.41
1655-SMAJ5.0ACT-ND,Littelfuse,SMAJ5.0A,1,D12,SMAJ5.0A (SMA),DigiKey,0.2300,0.23
1N4148W-FDICT-ND,Diodes Incorporated,1N4148W-7-F,1,D7,1N4148W (SOD-123),DigiKey,0.1800,0.18
SS14CT-ND,onsemi,SS14,1,D9,SS14 (SMA),DigiKey,0.1000,0.10
IRLML0030TRPBFCT-ND,Infineon,IRLML0030TRPBF,1,Q1,IRLML0030 (SOT-23),DigiKey,0.4900,0.49
311-49.9KFRCT-ND,Yageo,RC1206FR-0749K9L,5,"R1,R2,R4,R5,R6",49.9k (1206),DigiKey,0.1000,0.50
P1.00KCCT-ND,Panasonic,ERJ-6ENF1001V,8,"R13,R14,R15,R16,R17,R18,R23,R37",1k (0805),DigiKey,0.1200,0.96
311-3.30KFRCT-ND,Yageo,RC1206FR-073K3L,3,"R19,R20,R21",3.3k (1206),DigiKey,0.1000,0.30
311-4.70KCRCT-ND,Yageo,RC0805FR-074K7L,2,"R24,R25",4.7k (0805),DigiKey,0.1000,0.20
P120CCT-ND,Panasonic,ERJ-6ENF1200V,1,R26,120 (0805),DigiKey,0.1200,0.12
311-620LRCT-ND,Yageo,RC0402FR-07620RL,4,"R29,R31,R32,R34",620 (0402),DigiKey,0.1000,0.40
311-47.0KFRCT-ND,Yageo,RC1206FR-0747KL,2,"R3,R35",47k (1206),DigiKey,0.1000,0.20
311-120LRCT-ND,Yageo,RC0402FR-07120RL,2,"R30,R33",120 (0402),DigiKey,0.1000,0.20
311-10.0KCRCT-ND,Yageo,RC0805FR-0710KL,10,"R7,R8,R9,R10,R11,R12,R22,R27,R28,R36",10k (0805),DigiKey,0.0340,0.34
296-38849-1-ND,Texas Instruments,ADS1115IDGSR,2,"U1,U2",ADS1115IDGSR (TSSOP-10),DigiKey,5.2800,10.56
160-LTV-817S-TA1-CCT-ND,Lite-On,LTV-817S-TA1-C,1,U3,EL817 (SMDIP-4),DigiKey,0.4000,0.40
MCP2518FDT-E/SLCT-ND,Microchip,MCP2518FDT-E/SL,1,U4,MCP2518FD (SOIC-14),DigiKey,1.9600,1.96
296-ISO1044BDRCT-ND,Texas Instruments,ISO1044BDR,1,U5,ISO1044BD (SOIC-8),DigiKey,3.2800,3.28
296-11118-1-ND,Texas Instruments,UA78L05ACPK,1,U6,UA78L05 (SOT-89-3),DigiKey,0.3400,0.34
296-LM74700QDBVRQ1CT-ND,Texas Instruments,LM74700QDBVRQ1,1,U7,LM74700-Q1 (SOT-23-6),DigiKey,2.1200,2.12
,NXP,"PCA9615DP,118",1,U8,PCA9615DP (TSSOP-10),NO AUTHORIZED STOCK,,
535-ASE-40.000MHZ-L-C-TCT-ND,Abracon,ASE-40.000MHZ-L-C-T,1,Y1,40MHz (3.2x2.5mm),DigiKey,1.0400,1.04
277-5821-ND,Phoenix Contact,1827923,1,J1,"HELM (PhoenixContact_MC_1,5_8-GF-3.81_1x08_P3.)",DigiKey,4.6800,4.68
277-5745-ND,Phoenix Contact,1827868,2,"J2,J7","TACH (PhoenixContact_MC_1,5_2-GF-3.81_1x02_P3.)",DigiKey,2.4100,4.82
,Adafruit Industries LLC,1979,1,J4,RPi GPIO (PinSocket_2x20_P2.54mm_Vertical),Adafruit list price; DigiKey carries Adafruit 1979,2.5000,2.50
277-5799-ND,Phoenix Contact,1827897,1,J5,"NMEA 2000 (PhoenixContact_MC_1,5_5-GF-3.81_1x05_P3.)",DigiKey,3.5600,3.56
609-1046-ND,Amphenol,54602-908LF,1,J6,LIGHTS (RJ45_Amphenol_54602-x08_Horizontal),DigiKey,0.7800,0.78
277-5722-ND,Phoenix Contact,1827761,1,J1 plug,"mating plug, for the wiring (not on the board)",DigiKey,9.5300,9.53
277-5711-ND,Phoenix Contact,1827703,1,J2 plug,"mating plug, for the wiring (not on the board)",DigiKey,2.3700,2.37
277-5726-ND,Phoenix Contact,1827732,1,J5 plug,"mating plug, for the wiring (not on the board)",DigiKey,5.9500,5.95
